Suborder,Family,Sp1,Sp2,Condition,MainTopic,Authors,Year,Article
"""Butterfly""",Pieridae,Pieris dulcinea,Pieris napi,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Pieridae,Pieris ergane,Pieris napi,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Pieridae,Pieris macdunnoughii,Pieris napi,Laboratory,Yes,"Chew, FS; Watt, WB.",2006,"The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)"
"""Butterfly""",Pieridae,Pieris mannii,Pieris napi,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Pieridae,Pieris mannii,Pieris rapae,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Pieridae,Pieris marginalis,Pieris napi,Laboratory,Yes,"Chew, FS; Watt, WB.",2006,"The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)"
"""Butterfly""",Pieridae,Pieris marginalis,Pieris oleracea,Laboratory,Yes,"Chew, FS; Watt, WB.",2006,"The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)"
"""Butterfly""",Pieridae,Pieris melete,Pieris napi,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Pieridae,Pieris microstriata,Pieris napi,Laboratory,Yes,"Chew, FS; Watt, WB.",2006,"The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)"
"""Butterfly""",Pieridae,Pieris napi,Pieris bryoniae,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Pieridae,Pieris napi,Pieris nesis,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Pieridae,Pieris napi,Pieris oleracea,Laboratory,Yes,"Chew, FS; Watt, WB.",2006,"The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)"
"""Butterfly""",Pieridae,Pieris napi,Pieris rapae,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Pieridae,Pieris napi,Pieris virginiensis,Laboratory,Yes,"Chew, FS; Watt, WB.",2006,"The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)"
"""Butterfly""",Pieridae,Pieris rapae,Pontia daplidice,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Lycaenidae,Plebejus idas,Plebejus melissa,Field,Yes,"Gompert, Z; Lucas, LK; Fordyce, JA; Forister, ML; Nice, CC.",2010,Secondary contact between Lycaeides idas and L-melissa in the Rocky Mountains: extensive admixture and a patchy hybrid zone
"""Butterfly""",Pieridae,Pontia daplidice,Pontia edusa,Field,Yes,"Porter, AH; Wenger, R; Geiger, H; Scholl, A; Shapiro, AM.",1997,The Pontia daplidice-edusa hybrid zone in northwestern Italy
"""Butterfly""",Pieridae,Pontia protodice,Pontia daplidice,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Lycaenidae,Pseudophilotes baton,Pseudophilotes vicrama,Field,No,"Bartonova, AS; Konvicka, M; Maresova, J; Wiemers, M; Ignatev, N; Wahlberg, N; Schmitt, T; Fric, ZF.",2021,Wolbachia affects mitochondrial population structure in two systems of closely related Palaearctic blue butterflies
"""Butterfly""",Hesperiidae,Pyrgus malvae,Pyrgus malvoides,Field,Yes,"Hernandez-Roldan, JL; Bofill, R; Dapporto, L; Munguira, ML; Vila, R.",2014,Morphological and chemical analysis of male scent organs in the butterfly genus Pyrgus (Lepidoptera: Hesperiidae)
"""Moth""",Saturniidae,Saturnia mendocino,Saturnia walterorum,Field,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Saturniidae,Saturnia pavonia,Saturnia pyri,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Saturniidae,Saturnia pavonia,Saturnia spini,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Geometridae,Selenia bilunaria,Selenia tetralunaria,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Noctuidae,Spodoptera descoinsi,Spodoptera latifascia,Laboratory,Yes,"Monti, L; Genermont, J; Malosse, C; LalanneCassou, B.",1997,"A genetic analysis of some components of reproductive isolation between two closely related species, Spodoptera latifascia (Walker) and S-descoinsi (Lalanne- Cassou and Silvain) (Lepidoptera: Noctuidae)"
"""Moth""",Noctuidae,Spodoptera littoralis,Spodoptera litura,Laboratory,Yes,"Saveer, AM; Becher, PG; Birgersson, G; Hansson, BS; Witzgall, P; Bengtsson, M.",2014,Mate recognition and reproductive isolation in the sibling species Spodoptera littoralis and Spodoptera litura
