Genus	Sp1	Sp2	Distance	hybrid	Condition.hybridization	Authors.hybridization	Year.hybridization	Article	barriers	Authors.barriers	Year.barriers	Condition.barriers	Choice.Mating	Hybrid.Egg	Hybrid.Adult	One.Sex.Fertile.Hybrids	Fertile.Hybrids
Heliconius	Heliconius numata	Heliconius telesiphe	0.0953020134228188	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius numata	Heliconius timareta	0.0591836734693878	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius sapho	Heliconius sara	0.0649698593436035	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius sapho	Heliconius telesiphe	0.101876675603217	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius sapho	Heliconius timareta	0.0995934959349594	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius sara	Heliconius telesiphe	0.0893448047650563	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius sara	Heliconius timareta	0.0814266487213997	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius telesiphe	Heliconius timareta	0.0821548821548822	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Morpho	Morpho achilles	Morpho peleides	0.0439276485788114	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Opsiphanes	Opsiphanes cassina	Opsiphanes tamarindi	0.0706521739130435	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Papilio	Papilio demoleus	Papilio palinurus	0.0987841945288754	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Papilio	Papilio demoleus	Papilio polytes	0.0644504748982361	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Papilio	Papilio demoleus	Papilio rumanzovia	0.0765765765765766	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Papilio	Papilio demoleus	Papilio torquatus	0.0837912087912088	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Papilio	Papilio palinurus	Papilio polytes	0.100303951367781	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Papilio	Papilio palinurus	Papilio rumanzovia	0.10958904109589	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Papilio	Papilio palinurus	Papilio torquatus	0.100456621004566	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Papilio	Papilio polytes	Papilio rumanzovia	0.0668896321070234	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Papilio	Papilio polytes	Papilio torquatus	0.0935203740814963	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Papilio	Papilio rumanzovia	Papilio torquatus	0.0982142857142857	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Parides	Parides eurimedes	Parides iphidamas	0.0852017937219731	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Parides	Parides eurimedes	Parides photinus	0.0893854748603352	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Parides	Parides iphidamas	Parides photinus	0.0693815987933635	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Siproeta	Siproeta epaphus	Siproeta stelenes	0.0648259303721489	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
